Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
XML,imp/package.xml,package.xml,2916,2916,0,0,0,154115,2085
XML,framework/Text_Filter/package.xml,package.xml,907,907,0,0,0,39067,504
XML,framework/Util/package.xml,package.xml,579,579,0,0,0,17646,286
XML,horde/package.xml,package.xml,3588,3588,0,0,0,206254,2757
XML,kronolith/package.xml,package.xml,2073,2073,0,0,0,104030,1407
JavaScript,kronolith/js/kronolith.js,kronolith.js,6553,5216,849,488,1161,251767,3830
JavaScript,imp/js/compose-dimp.js,compose-dimp.js,1223,973,56,194,210,37453,696
PHP,horde/templates/topbar/_menubar.html.php,_menubar.html.php,27,27,0,0,3,1077,25
PHP,framework/Text_Filter/test/Horde/Text/Filter/XssTest.php,XssTest.php,184,162,10,12,0,23500,147
PHP,framework/Text_Filter/lib/Horde/Text/Filter/Xss.php,Xss.php,216,105,90,21,10,7650,160
PHP,framework/Util/lib/Horde/Variables.php,Variables.php,405,197,161,47,21,10000,194
PHP,framework/Ldap/test/Horde/Ldap/LdapTest.php,LdapTest.php,604,413,120,71,3,23759,345
PHP,framework/Ldap/lib/Horde/Ldap.php,Ldap.php,1537,763,653,121,141,57917,935
PHP,framework/Image/lib/Horde/Image/Im.php,Im.php,690,330,292,68,27,22888,391
PHP,framework/Core/lib/Horde/Core/Ui/VarRenderer/Html.php,Html.php,1710,1439,72,199,152,74777,946
