Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,apps/files_versions/tests/versions.php,versions.php,191,117,58,16,0,9065,106
PHP,apps/files_versions/lib/versions.php,versions.php,593,376,121,96,68,20227,390
PHP,settings/ajax/togglegroups.php,togglegroups.php,53,42,2,9,10,1499,36
PHP,apps/user_ldap/settings.php,settings.php,77,41,24,12,2,2709,61
PHP,settings/ajax/setquota.php,setquota.php,38,25,7,6,7,1240,31
PHP,settings/ajax/setloglevel.php,setloglevel.php,13,5,5,3,0,311,11
PHP,settings/ajax/setlanguage.php,setlanguage.php,21,16,1,4,2,611,18
PHP,apps/files_versions/ajax/rollbackVersion.php,rollbackVersion.php,14,11,0,3,1,434,12
PHP,apps/files/ajax/rename.php,rename.php,42,18,20,4,2,1175,34
PHP,settings/ajax/removeuser.php,removeuser.php,26,19,2,5,4,698,18
PHP,settings/ajax/removegroup.php,removegroup.php,14,10,1,3,1,316,11
PHP,lib/private/connector/sabre/objecttree.php,objecttree.php,174,100,46,28,28,4800,111
PHP,tests/lib/connector/sabre/objecttree.php,objecttree.php,109,66,24,19,0,3368,68
PHP,apps/files/ajax/newfolder.php,newfolder.php,66,50,3,13,7,1779,43
PHP,apps/files/ajax/newfile.php,newfile.php,146,122,3,21,25,4166,91
JavaScript,core/js/multiselect.js,multiselect.js,318,295,15,8,55,10921,258
PHP,apps/files/ajax/move.php,move.php,29,23,1,5,7,1027,24
PHP,lib/private/migrate.php,migrate.php,626,378,194,54,77,19729,416
PHP,settings/ajax/lostpassword.php,lostpassword.php,15,11,1,3,2,453,13
PHP,index.php,index.php,36,9,21,6,0,1044,28
JavaScript,apps/files/tests/js/filelistSpec.js,filelistSpec.js,814,727,40,47,3,29982,432
JavaScript,apps/files/js/filelist.js,filelist.js,1266,966,204,96,197,38286,859
PHP,settings/ajax/enableapp.php,enableapp.php,12,10,0,2,0,296,11
PHP,settings/ajax/disableapp.php,disableapp.php,7,5,0,2,0,132,6
PHP,apps/files/ajax/delete.php,delete.php,45,33,4,8,8,1197,33
PHP,settings/ajax/createuser.php,createuser.php,54,46,3,5,7,1454,44
PHP,settings/ajax/creategroup.php,creategroup.php,20,14,2,4,2,504,15
PHP,settings/changepassword/controller.php,controller.php,101,87,3,11,16,3720,69
PHP,core/ajax/appconfig.php,appconfig.php,51,36,9,6,5,1541,38
PHP,apps/files_external/3rdparty/Dropbox/OAuth/Curl.php,Curl.php,282,159,92,31,27,9453,194
