Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C++,test/extensions/compression/zstd/decompressor/zstd_decompressor_impl_test.cc,zstd_decompressor_impl_test.cc,211,165,6,40,3,7963,124
C Header,source/extensions/compression/zstd/decompressor/zstd_decompressor_impl.h,zstd_decompressor_impl.h,72,49,10,13,0,2561,55
C++,source/extensions/compression/zstd/decompressor/zstd_decompressor_impl.cc,zstd_decompressor_impl.cc,107,88,5,14,13,3464,80
C++,test/extensions/compression/gzip/decompressor/zlib_decompressor_impl_test.cc,zlib_decompressor_impl_test.cc,364,280,12,72,7,14164,175
C++,source/extensions/compression/gzip/decompressor/zlib_decompressor_impl.cc,zlib_decompressor_impl.cc,138,108,8,22,14,4273,102
C++,test/integration/xfcc_integration_test.cc,xfcc_integration_test.cc,940,855,36,49,9,54868,700
ReStructuredText,docs/root/intro/version_history.rst,version_history.rst,6,4,0,2,0,176,5
C++,source/extensions/filters/http/jwt_authn/verifier.cc,verifier.cc,429,340,32,57,49,16496,246
C Header,test/config/utility.h,utility.h,485,290,95,100,1,21355,346
C Header,source/extensions/transport_sockets/tls/utility.h,utility.h,136,34,81,21,0,4490,84
C++,source/extensions/transport_sockets/tls/utility.cc,utility.cc,398,331,24,43,52,15398,288
C++,test/config/utility.cc,utility.cc,1610,1449,42,119,136,63910,970
C++,source/common/router/upstream_request.cc,upstream_request.cc,667,494,80,93,93,28521,439
C++,test/common/upstream/upstream_impl_test.cc,upstream_impl_test.cc,4453,3829,168,456,27,192282,1515
Protocol Buffers,api/envoy/extensions/transport_sockets/tls/v3/tls_spiffe_validator_config.proto,tls_spiffe_validator_config.proto,60,17,35,8,0,3104,46
C Header,test/extensions/filters/http/jwt_authn/test_common.h,test_common.h,358,293,49,16,0,13825,228
C Header,test/extensions/transport_sockets/tls/cert_validator/test_common.h,test_common.h,97,83,0,14,0,3748,71
C++,test/integration/tcp_tunneling_integration_test.cc,tcp_tunneling_integration_test.cc,1340,947,159,234,102,54524,577
C Header,source/common/tcp_proxy/tcp_proxy.h,tcp_proxy.h,529,358,97,74,6,21671,375
C++,source/common/tcp_proxy/tcp_proxy.cc,tcp_proxy.cc,812,658,53,101,137,32922,540
C++,test/common/stream_info/stream_info_impl_test.cc,stream_info_impl_test.cc,335,273,3,59,10,14321,245
C Header,source/common/stream_info/stream_info_impl.h,stream_info_impl.h,384,297,10,77,11,15786,254
C++,test/integration/ssl_utility.cc,ssl_utility.cc,173,153,0,20,11,8281,117
C++,test/extensions/transport_sockets/tls/ssl_socket_test.cc,ssl_socket_test.cc,6377,5377,259,741,86,303873,1687
C Header,source/extensions/transport_sockets/tls/ssl_socket.h,ssl_socket.h,164,127,8,29,1,6122,121
C++,source/extensions/transport_sockets/tls/ssl_socket.cc,ssl_socket.cc,459,362,38,59,85,18154,306
C++,test/extensions/transport_sockets/tls/integration/ssl_integration_test.cc,ssl_integration_test.cc,1119,922,88,109,26,48447,574
YAML,docs/root/intro/arch_overview/security/_include/ssl.yaml,ssl.yaml,58,58,0,0,0,2086,58
ReStructuredText,docs/root/intro/arch_overview/security/ssl.rst,ssl.rst,234,180,0,54,0,14224,179
C++,test/extensions/transport_sockets/tls/cert_validator/spiffe/spiffe_validator_test.cc,spiffe_validator_test.cc,653,538,30,85,7,27372,280
C Header,test/extensions/transport_sockets/tls/cert_validator/spiffe/spiffe_validator_integration_test.h,spiffe_validator_integration_test.h,52,42,0,10,1,1925,42
C++,test/extensions/transport_sockets/tls/cert_validator/spiffe/spiffe_validator_integration_test.cc,spiffe_validator_integration_test.cc,278,241,12,25,12,11781,118
C Header,source/extensions/transport_sockets/tls/cert_validator/spiffe/spiffe_validator.h,spiffe_validator.h,81,62,2,17,0,2824,65
C++,source/extensions/transport_sockets/tls/cert_validator/spiffe/spiffe_validator.cc,spiffe_validator.cc,309,251,18,40,57,12070,205
Plain Text,tools/spelling/spelling_dictionary.txt,spelling_dictionary.txt,1378,1378,0,0,0,10823,1379
ReStructuredText,docs/root/start/quick-start/securing.rst,securing.rst,206,149,0,57,0,8504,115
C++,test/common/secret/secret_manager_impl_test.cc,secret_manager_impl_test.cc,1170,1049,24,97,0,50918,411
C++,test/common/secret/sds_api_test.cc,sds_api_test.cc,856,717,41,98,7,39165,468
C++,test/extensions/transport_sockets/tls/cert_validator/san_matcher_test.cc,san_matcher_test.cc,63,51,4,8,4,2608,53
