Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,application/config/version.php,version.php,22,8,12,2,0,703,21
JavaScript,scripts/uploader.js,uploader.js,332,276,20,36,43,15324,236
PHP,application/views/admin/token/tokenform.php,tokenform.php,233,210,3,20,20,11743,140
PHP,application/views/admin/templates/templatesummary_view.php,templatesummary_view.php,214,210,0,4,2,11526,161
PHP,application/third_party/tcpdf/include/tcpdf_static.php,tcpdf_static.php,2841,1718,1052,71,255,106882,2007
PHP,application/third_party/tcpdf/include/tcpdf_images.php,tcpdf_images.php,355,199,144,12,59,11195,246
PHP,application/third_party/tcpdf/include/tcpdf_fonts.php,tcpdf_fonts.php,2583,1951,583,49,545,95178,1652
PHP,application/third_party/tcpdf/tcpdf_autoconfig.php,tcpdf_autoconfig.php,237,154,46,37,51,7077,145
PHP,application/third_party/tcpdf/tools/tcpdf_addfont.php,tcpdf_addfont.php,269,187,54,28,26,7449,199
PHP,application/third_party/tcpdf/tcpdf.php,tcpdf.php,24555,16987,6881,687,3804,899283,13963
PHP,application/controllers/admin/surveyadmin.php,surveyadmin.php,2058,1719,171,168,118,86915,1122
Plain Text,docs/release_notes.txt,release_notes.txt,4227,3932,0,295,0,321498,3295
PHP,application/third_party/pclzip/pclzip.lib.php,pclzip.lib.php,5694,2949,1828,917,958,202844,2322
PHP,application/controllers/admin/participantsaction.php,participantsaction.php,1879,1429,297,153,211,78971,1038
PHP,application/views/admin/quotas/newanswer_view.php,newanswer_view.php,41,39,0,2,1,2277,36
JavaScript,scripts/modaldialog.js,modaldialog.js,126,106,3,17,24,4911,97
PHP,application/views/admin/labels/labelview_view.php,labelview_view.php,45,38,0,7,2,1869,38
PHP,application/controllers/admin/labels.php,labels.php,519,351,95,73,68,18978,308
PHP,application/views/admin/templates/importuploaded_view.php,importuploaded_view.php,89,84,1,4,7,3495,68
PHP,application/views/admin/survey/importSurveyResources_view.php,importSurveyResources_view.php,119,119,0,0,1,5464,60
PHP,application/views/admin/globalSettings_view.php,globalSettings_view.php,76,68,0,8,0,3648,58
PHP,application/helpers/frontend_helper.php,frontend_helper.php,2380,1855,310,215,380,101774,1430
PHP,application/controllers/admin/export.php,export.php,1250,940,134,176,108,48122,739
JSON,application/third_party/tcpdf/composer.json,composer.json,40,40,0,0,0,946,40
PHP,application/helpers/common_helper.php,common_helper.php,7703,5831,1302,570,798,284971,4000
PHP,application/extensions/PannelBoxWidget/views/box.php,box.php,14,14,0,0,0,703,13
PHP,application/models/TemplateConfiguration.php,TemplateConfiguration.php,250,139,80,31,16,11098,176
PHP,application/core/Survey_Common_Action.php,Survey_Common_Action.php,1479,973,316,190,197,59853,839
Plain Text,application/third_party/tcpdf/CHANGELOG.TXT,CHANGELOG.TXT,2850,2172,0,678,0,112134,2129
