Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,lib/vtls/wolfssl.c,wolfssl.c,991,761,106,124,144,31087,613
C Header,lib/vtls/vtls.h,vtls.h,278,173,69,36,4,11881,223
C,lib/vtls/vtls.c,vtls.c,1349,960,191,198,161,36528,810
C,lib/url.c,url.c,4195,2835,817,543,652,130807,2633
C,src/tool_writeout.c,tool_writeout.c,379,344,26,9,53,13314,259
C,src/tool_msgs.c,tool_msgs.c,124,75,35,14,9,3286,92
C,lib/telnet.c,telnet.c,1699,1332,177,190,204,47119,916
C,lib/smtp.c,smtp.c,1639,1005,363,271,258,46819,879
C,lib/vtls/sectransp.c,sectransp.c,3277,2690,326,261,409,111229,2030
C Header,lib/vtls/schannel.h,schannel.h,108,56,40,12,1,3675,83
C,lib/vtls/schannel.c,schannel.c,2302,1736,277,289,374,77840,1463
C,lib/vtls/openssl.c,openssl.c,3947,2980,501,466,520,118302,2370
C,lib/vtls/nss.c,nss.c,2452,1805,271,376,374,74346,1478
C,lib/multi.c,multi.c,3076,2016,625,435,442,95715,1884
C,lib/vtls/mesalink.c,mesalink.c,627,478,67,82,88,18291,391
C,lib/vtls/mbedtls.c,mbedtls.c,1086,823,93,170,127,32938,657
C,lib/vtls/gtls.c,gtls.c,1881,1456,192,233,262,58184,1115
C,lib/vtls/gskit.c,gskit.c,1381,1087,120,174,188,42031,847
C,lib/vauth/cleartext.c,cleartext.c,169,70,81,18,10,5321,113
