Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,src/vm.c,vm.c,3103,2625,147,331,534,83579,1741
C Header,include/mruby/proc.h,proc.h,176,97,59,20,12,6486,142
C,src/proc.c,proc.c,509,422,20,67,85,13395,324
C,src/kernel.c,kernel.c,616,355,213,48,72,19124,392
C,mrbgems/mruby-io/src/io.c,io.c,1960,1697,24,239,404,47910,1087
C,src/gc.c,gc.c,1559,1146,211,202,228,37581,840
C,mrbgems/mruby-fiber/src/fiber.c,fiber.c,569,376,130,63,65,15534,341
C,mrbgems/mruby-compiler/core/codegen.c,codegen.c,4238,3796,65,377,1153,97721,2123
C,src/class.c,class.c,3023,2363,305,355,467,81926,1599
C,src/array.c,array.c,1708,1274,220,214,289,44615,897
