Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,coders/xwd.c,xwd.c,959,703,218,38,225,33502,581
C,magick/widget.c,widget.c,9643,7125,2231,287,1525,327731,2879
C,coders/tiff.c,tiff.c,4223,3577,389,257,1115,137888,2166
C,magick/threshold.c,threshold.c,2740,1899,655,186,551,90703,1216
C,magick/statistic.c,statistic.c,3813,2986,553,274,595,127469,1788
C,magick/quantum-export.c,quantum-export.c,4039,3754,87,198,470,118293,622
C,coders/psd.c,psd.c,3631,3034,287,310,949,111643,1976
C,coders/ps.c,ps.c,2157,1809,265,83,411,75171,1234
C,magick/property.c,property.c,4443,3681,601,161,664,135618,2232
C,coders/pnm.c,pnm.c,2477,2096,265,116,565,86159,849
C,coders/png.c,png.c,14082,10294,1538,2250,3331,445182,7034
C,coders/pcl.c,pcl.c,993,729,221,43,178,31865,600
C,wand/mogrify.c,mogrify.c,8943,7897,768,278,3186,315102,2921
C,magick/layer.c,layer.c,2096,1241,780,75,360,76942,1062
C,coders/gif.c,gif.c,1973,1503,373,97,417,64129,1212
C,magick/fourier.c,fourier.c,1708,1435,169,104,261,54074,787
C,magick/feature.c,feature.c,2373,1867,380,126,474,85227,1355
C,coders/emf.c,emf.c,898,641,192,65,149,27776,537
C,magick/draw.c,draw.c,7397,6227,837,333,1368,242887,3465
C,wand/display.c,display.c,1885,1708,133,44,814,68321,842
C,coders/cut.c,cut.c,741,555,129,57,148,25834,458
C,coders/cin.c,cin.c,1232,950,212,70,168,43830,788
C,magick/blob.c,blob.c,5539,3303,1993,243,782,179640,1795
C,magick/annotate.c,annotate.c,2118,1569,420,129,442,69951,1214
C,wand/animate.c,animate.c,1437,1290,108,39,582,51608,645
