Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,util-print.c,util-print.c,992,584,322,86,177,25654,589
C,tcpdump.c,tcpdump.c,3188,2230,661,297,625,84169,1884
C,smbutil.c,smbutil.c,2003,1780,126,97,144,66797,1523
C,print.c,print.c,626,451,129,46,67,15566,378
C,print-zephyr.c,print-zephyr.c,350,272,33,45,51,8396,252
C,print-zep.c,print-zep.c,180,96,59,25,18,4944,138
C,print-wb.c,print-wb.c,461,341,62,58,44,10895,309
C,print-vtp.c,print-vtp.c,398,234,108,56,20,13750,265
C,print-vrrp.c,print-vrrp.c,184,96,71,17,25,6424,136
C,print-vqp.c,print-vqp.c,213,148,39,26,18,6863,168
C,print-telnet.c,print-telnet.c,559,415,82,62,52,15323,418
C,print-someip.c,print-someip.c,136,87,32,17,1,4304,105
C,print-smb.c,print-smb.c,1522,1254,44,224,214,44192,856
C,print-rx.c,print-rx.c,2889,2148,399,342,225,65112,1356
C,print-rt6.c,print-rt6.c,117,77,23,17,11,3258,87
C,print-rsvp.c,print-rsvp.c,2076,1721,190,165,122,83297,1151
C,print-rpki-rtr.c,print-rpki-rtr.c,400,250,104,46,33,10928,269
C,print-ripng.c,print-ripng.c,188,123,49,16,25,6063,142
C,print-resp.c,print-resp.c,542,430,92,20,24,16751,345
C,print-radius.c,print-radius.c,1261,968,158,135,77,46723,883
C,print-ppp.c,print-ppp.c,1931,1543,202,186,200,48066,1131
C,print-pktap.c,print-pktap.c,175,107,48,20,16,5433,134
C,print-pim.c,print-pim.c,1283,1005,173,105,194,34942,793
C,print-pgm.c,print-pgm.c,835,704,48,83,83,21697,486
C,print-ospf6.c,print-ospf6.c,1037,806,113,118,94,30499,700
C,print-olsr.c,print-olsr.c,719,504,95,120,91,23975,461
C,print-null.c,print-null.c,145,70,51,24,9,4066,106
C,print-nfs.c,print-nfs.c,1915,1542,200,173,401,47191,974
C,print-mptcp.c,print-mptcp.c,475,361,55,59,107,15106,287
C,print-mpls.c,print-mpls.c,213,126,64,23,11,5297,169
C,print-mobility.c,print-mobility.c,346,262,58,26,31,9854,249
C,print-lspping.c,print-lspping.c,1092,701,286,105,77,52518,623
C,print-lmp.c,print-lmp.c,1142,933,72,137,75,37738,612
C,print-lldp.c,print-lldp.c,1672,1378,97,197,116,58680,1034
C,print-llc.c,print-llc.c,610,393,161,56,102,16943,414
C,print-ldp.c,print-ldp.c,704,514,108,82,47,24119,506
C,print-l2tp.c,print-l2tp.c,866,730,55,81,81,23656,520
C,print-juniper.c,print-juniper.c,1561,1292,97,172,154,51904,935
C,print-isoclns.c,print-isoclns.c,3622,3000,187,435,436,122638,2270
C,print-isakmp.c,print-isakmp.c,3152,2467,337,348,307,82481,1669
C,print-ip6.c,print-ip6.c,485,277,161,47,46,13088,337
C,print-ip.c,print-ip.c,551,409,71,71,87,12739,372
C,print-icmp6.c,print-icmp6.c,2145,1794,139,212,227,65465,1429
C,print-icmp.c,print-icmp.c,781,596,95,90,52,24935,531
C,print-hncp.c,print-hncp.c,868,720,60,88,139,26712,518
C,print-gre.c,print-gre.c,418,321,34,63,53,8938,212
C,print-frag6.c,print-frag6.c,71,39,22,10,4,2359,58
C,print-fr.c,print-fr.c,1153,736,278,139,165,32909,722
C,print-ether.c,print-ether.c,656,423,166,67,64,17804,423
C,print-eigrp.c,print-eigrp.c,528,425,35,68,25,20089,353
C,print-eap.c,print-eap.c,294,220,34,40,14,9231,221
C,print-domain.c,print-domain.c,1115,950,71,94,282,27304,705
C,print-dhcp6.c,print-dhcp6.c,843,724,84,35,92,23148,557
C,print-decnet.c,print-decnet.c,1231,1069,57,105,94,37137,778
C,print-dccp.c,print-dccp.c,716,564,93,59,77,18047,421
C,print-chdlc.c,print-chdlc.c,206,149,35,22,16,6022,159
C,print-cfm.c,print-cfm.c,769,559,105,105,52,24459,513
C,print-bootp.c,print-bootp.c,1114,884,139,91,144,30193,807
C,print-bgp.c,print-bgp.c,3251,2625,311,315,391,111169,1922
C,print-beep.c,print-beep.c,69,38,21,10,16,1725,53
C,print-babel.c,print-babel.c,866,709,85,72,175,28369,539
C,print-atm.c,print-atm.c,560,367,124,69,32,17193,402
C,print-arp.c,print-arp.c,474,357,57,60,59,14747,303
C,print-arista.c,print-arista.c,94,75,4,15,9,2362,76
C,print-aodv.c,print-aodv.c,542,440,41,61,31,16266,250
C,print-ahcp.c,print-ahcp.c,414,330,44,40,42,10789,244
C,print-802_15_4.c,print-802_15_4.c,2532,2096,293,143,391,65334,1433
C,print-802_11.c,print-802_11.c,3512,2513,647,352,329,99131,2120
C,ntp.c,ntp.c,85,43,34,8,8,2623,76
C Header,netdissect.h,netdissect.h,754,461,219,74,28,36025,611
C Header,ip6.h,ip6.h,212,101,87,24,0,8086,151
C Header,extract.h,extract.h,909,616,186,107,54,31273,497
C Header,addrtoname.h,addrtoname.h,121,77,29,15,6,4694,84
C,addrtoname.c,addrtoname.c,1338,1041,172,125,171,35365,897
