Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,plugins/zipdownload/zipdownload.php,zipdownload.php,340,227,55,58,32,11686,209
JavaScript,plugins/zipdownload/zipdownload.js,zipdownload.js,99,58,25,16,16,3443,76
PHP,program/lib/Roundcube/rcube_washtml.php,rcube_washtml.php,624,434,140,50,65,24157,409
PHP,program/lib/Roundcube/rcube_utils.php,rcube_utils.php,1105,774,218,113,130,35203,604
PHP,program/lib/Roundcube/rcube_string_replacer.php,rcube_string_replacer.php,252,140,82,30,25,8407,150
PHP,plugins/managesieve/lib/Roundcube/rcube_sieve_engine.php,rcube_sieve_engine.php,2348,1813,218,317,515,107673,1490
PHP,program/lib/Roundcube/rcube_plugin_api.php,rcube_plugin_api.php,663,409,190,64,90,24345,413
PHP,program/lib/Roundcube/rcube_output.php,rcube_output.php,275,128,115,32,25,7947,158
PHP,program/lib/Roundcube/rcube_message.php,rcube_message.php,830,490,223,117,191,32113,498
PHP,program/lib/Roundcube/rcube_imap.php,rcube_imap.php,4541,2619,1195,727,803,142497,2117
PHP,program/lib/Roundcube/rcube_image.php,rcube_image.php,409,272,82,55,88,14843,245
PHP,program/lib/Roundcube/rcube_config.php,rcube_config.php,608,360,162,86,89,19375,365
PHP,program/lib/Roundcube/rcube_charset.php,rcube_charset.php,810,561,149,100,224,26875,504
PHP,program/include/rcmail_output_html.php,rcmail_output_html.php,1924,1251,422,251,315,68333,1160
PHP,program/include/rcmail.php,rcmail.php,2308,1632,382,294,362,78747,1317
JavaScript,plugins/managesieve/managesieve.js,managesieve.js,1031,760,90,181,209,31734,638
PHP,index.php,index.php,334,204,79,51,78,13371,234
PHP,plugins/enigma/lib/enigma_ui.php,enigma_ui.php,455,282,100,73,41,15856,288
JavaScript,plugins/enigma/enigma.js,enigma.js,206,152,22,32,45,6770,140
JavaScript,program/js/app.js,app.js,8121,6648,548,925,1740,253275,4765
PHP,tests/Framework/Washtml.php,Washtml.php,186,116,33,37,0,6397,82
PHP,tests/Framework/Utils.php,Utils.php,370,265,67,38,5,12825,216
PHP,tests/Framework/Text2Html.php,Text2Html.php,94,70,13,11,0,4161,71
PHP,tests/Framework/StringReplacer.php,StringReplacer.php,79,55,15,9,0,4177,58
PHP,tests/MailFunc.php,MailFunc.php,268,176,51,41,0,10729,150
PHP,tests/Framework/Charset.php,Charset.php,180,101,59,20,0,3953,76
