Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,server/sso/validate_test.go,validate_test.go,281,239,6,36,14,47119,156
Go,server/sso/validate.go,validate.go,240,200,18,22,59,6871,155
Go,server/service/users_test.go,users_test.go,1316,1195,29,92,26,40380,512
Go,server/service/users.go,users.go,1091,809,106,176,267,33518,524
Go,server/sso/types.go,types.go,269,219,7,43,0,7587,164
Go,server/service/team_schedule_test.go,team_schedule_test.go,170,159,2,9,3,4569,95
Go,server/service/team_schedule.go,team_schedule.go,202,157,16,29,26,6790,117
Go,server/service/software_test.go,software_test.go,203,179,6,18,1,5875,98
Go,server/service/software.go,software.go,230,164,23,43,44,7499,129
Go,server/fleet/software.go,software.go,338,204,86,48,32,12504,247
Go,server/service/service_campaigns.go,service_campaigns.go,370,293,42,35,87,12211,257
Go,server/service/scheduled_queries_test.go,scheduled_queries_test.go,380,336,9,35,5,10934,155
Go,server/authz/policy_test.go,policy_test.go,2110,1764,51,295,17,118667,1320
Go,server/fleet/packs.go,packs.go,229,170,33,26,41,6538,161
Go,server/service/hosts.go,hosts.go,2150,1634,169,347,532,66201,1062
Go,server/service/global_schedule_test.go,global_schedule_test.go,107,94,3,10,1,3170,67
Go,server/service/global_schedule.go,global_schedule.go,172,127,13,32,19,5761,98
Go,server/service/endpoint_utils_test.go,endpoint_utils_test.go,482,391,7,84,10,14935,242
Go,server/service/endpoint_campaigns.go,endpoint_campaigns.go,127,96,14,17,21,4275,92
Go,server/fleet/authz.go,authz.go,34,10,19,5,0,1016,25
Go,server/authz/authz.go,authz.go,204,125,57,22,34,6499,141
Go,server/service/activities_test.go,activities_test.go,139,125,4,10,5,4278,100
TypeScript,frontend/pages/admin/TeamManagementPage/TeamDetailsWrapper/UsersPage/UsersPage.tsx,UsersPage.tsx,492,453,6,33,81,15991,370
TypeScript,frontend/pages/admin/UserManagementPage/components/UserForm/UserForm.tsx,UserForm.tsx,608,560,6,42,81,18738,446
TypeScript,frontend/pages/DashboardPage/cards/Software/Software.tsx,Software.tsx,149,133,1,15,16,4814,107
TypeScript,frontend/pages/policies/ManagePoliciesPage/ManagePoliciesPage.tsx,ManagePoliciesPage.tsx,830,752,15,63,155,26701,615
