Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,server/sso/validate_test.go,validate_test.go,281,239,6,36,14,47119,156
Go,server/sso/validate.go,validate.go,240,200,18,22,59,6871,155
Go,server/service/users_test.go,users_test.go,1307,1186,29,92,26,40040,504
Go,server/service/users.go,users.go,1070,790,105,175,260,32940,510
Go,server/sso/types.go,types.go,269,219,7,43,0,7587,164
Go,server/service/team_schedule_test.go,team_schedule_test.go,170,159,2,9,3,4567,95
Go,server/service/team_schedule.go,team_schedule.go,202,157,16,29,26,6790,117
Go,server/service/software_test.go,software_test.go,196,173,6,17,1,5490,94
Go,server/service/software.go,software.go,190,132,20,38,30,5873,98
Go,server/fleet/software.go,software.go,327,194,86,47,32,11976,238
Go,server/service/service_campaigns.go,service_campaigns.go,373,295,43,35,87,12318,260
Go,server/service/scheduled_queries_test.go,scheduled_queries_test.go,380,336,9,35,5,10934,155
Go,server/authz/policy_test.go,policy_test.go,2110,1764,51,295,17,118676,1317
Go,server/fleet/packs.go,packs.go,229,170,33,26,41,6538,161
Go,server/service/hosts.go,hosts.go,2023,1533,164,326,496,62419,1010
Go,server/service/global_schedule_test.go,global_schedule_test.go,107,94,3,10,1,3170,67
Go,server/service/global_schedule.go,global_schedule.go,172,127,13,32,19,5761,98
Go,server/service/endpoint_utils_test.go,endpoint_utils_test.go,482,391,7,84,10,14935,242
Go,server/service/endpoint_campaigns.go,endpoint_campaigns.go,127,96,14,17,21,4275,92
Go,server/fleet/authz.go,authz.go,34,10,19,5,0,1016,25
Go,server/authz/authz.go,authz.go,204,125,57,22,34,6499,141
Go,server/service/activities_test.go,activities_test.go,139,125,4,10,5,4278,100
TypeScript,frontend/pages/admin/UserManagementPage/components/UserForm/UserForm.tsx,UserForm.tsx,611,563,6,42,81,18887,449
TypeScript,frontend/pages/DashboardPage/cards/Software/Software.tsx,Software.tsx,149,133,1,15,16,4818,107
TypeScript,frontend/pages/admin/TeamManagementPage/TeamDetailsWrapper/MembersPage/MembersPage.tsx,MembersPage.tsx,524,485,6,33,84,17193,393
TypeScript,frontend/pages/policies/ManagePoliciesPage/ManagePoliciesPage.tsx,ManagePoliciesPage.tsx,835,752,18,65,158,26854,617
