Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,public/templates/show_search_form.inc.php,show_search_form.inc.php,126,102,20,4,31,5433,101
PHP,public/templates/show_rules.inc.php,show_rules.inc.php,80,54,21,5,10,2832,66
PHP,public/templates/show_random.inc.php,show_random.inc.php,142,116,21,5,20,5610,111
PHP,public/templates/show_mashup_browse_form.inc.php,show_mashup_browse_form.inc.php,54,51,0,3,7,2199,34
PHP,public/templates/show_graphs.inc.php,show_graphs.inc.php,98,74,20,4,4,3770,82
PHP,public/templates/show_democratic.inc.php,show_democratic.inc.php,85,61,21,3,8,3107,67
PHP,public/templates/show_browse_form.inc.php,show_browse_form.inc.php,95,72,20,3,32,3928,72
PHP,public/templates/show_artist_info.inc.php,show_artist_info.inc.php,57,32,21,4,4,1768,48
PHP,public/templates/show_alphabet_form.inc.php,show_alphabet_form.inc.php,30,8,20,2,0,1322,25
PHP,public/random.php,random.php,42,16,21,5,0,1512,34
PHP,src/Repository/Model/database_object.php,database_object.php,182,82,72,28,13,5174,113
SQL,resources/sql/ampache.sql,ampache.sql,1644,1095,327,222,0,67629,867
PHP,src/Module/Playback/Localplay/Vlc/VlcPlayer.php,VlcPlayer.php,591,334,176,81,68,17998,322
PHP,src/Repository/Model/User.php,User.php,1343,754,415,174,114,42444,809
PHP,src/Module/System/Update.php,Update.php,1377,832,308,237,28,66145,572
PHP,src/Module/Playback/Localplay/Upnp/UPnPDevice.php,UPnPDevice.php,264,99,137,28,6,9306,164
PHP,src/Repository/Model/Tag.php,Tag.php,990,572,274,144,97,32122,500
PHP,src/Repository/Model/TVShow_Season.php,TVShow_Season.php,433,247,124,62,23,12267,250
PHP,src/Module/Playback/Stream_Playlist.php,Stream_Playlist.php,749,498,162,89,55,23799,460
PHP,src/Module/Statistics/Stats.php,Stats.php,854,505,260,89,119,34029,490
PHP,src/Repository/Model/Search.php,Search.php,2646,2091,335,220,289,125043,1198
PHP,src/Module/Application/Playback/PlayAction.php,PlayAction.php,928,704,112,112,241,39768,618
PHP,src/Module/Art/Collector/FolderCollectorModule.php,FolderCollectorModule.php,228,153,46,29,25,8136,169
PHP,src/Repository/Model/Catalog.php,Catalog.php,3336,2066,892,378,339,123938,1741
Markdown,docs/CHANGELOG.md,CHANGELOG.md,2126,1832,0,294,0,94881,1729
PHP,src/Repository/Model/Art.php,Art.php,1393,912,324,157,205,49536,831
PHP,src/Module/Application/ApplicationRunner.php,ApplicationRunner.php,142,89,33,20,2,4513,104
PHP,src/Module/Playback/Localplay/Mpd/AmpacheMpd.php,AmpacheMpd.php,597,314,205,78,27,18612,380
