Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Ruby HTML,puppet/zulip/templates/nginx/zulip-enterprise.template.erb,zulip-enterprise.template.erb,46,38,0,8,8,1165,30
Python,zerver/views/users.py,users.py,556,526,2,28,28,23932,432
Python,zproject/urls.py,urls.py,906,658,159,89,5,33956,746
Python,zerver/views/upload.py,upload.py,116,75,21,20,11,5064,94
Python,zerver/lib/upload.py,upload.py,921,856,29,36,10,36952,537
Markdown,docs/production/upload-backends.md,upload-backends.md,158,127,0,31,0,6000,117
Python,scripts/lib/upgrade-zulip-stage-2,upgrade-zulip-stage-2,306,210,53,43,37,13198,257
JavaScript,static/js/ui_init.js,ui_init.js,485,301,117,67,30,17655,354
JavaScript,static/js/timerender.js,timerender.js,344,246,57,41,34,11779,260
Python,zerver/lib/thumbnail.py,thumbnail.py,78,72,1,5,0,2678,64
Python,zerver/tests/test_users.py,test_users.py,1789,1553,65,171,60,74858,956
Python,zerver/tests/test_upload.py,test_upload.py,2031,2004,12,15,7,91591,1032
Python,zerver/tests/test_thumbnail.py,test_thumbnail.py,352,347,0,5,0,16660,142
Python,zerver/tests/test_subs.py,test_subs.py,4717,4368,142,207,64,215507,2507
Python,zerver/tests/test_signup.py,test_signup.py,4438,3892,217,329,99,207552,2112
Python,zerver/tests/test_settings.py,test_settings.py,426,321,41,64,29,18707,251
Python,zerver/tests/test_realm_filters.py,test_realm_filters.py,116,110,0,6,0,5539,67
Python,zerver/tests/test_migrations.py,test_migrations.py,85,53,21,11,0,4289,67
Python,zerver/tests/test_markdown.py,test_markdown.py,2245,2088,34,123,27,116673,1183
Python,zerver/tests/test_email_change.py,test_email_change.py,226,200,2,24,4,10375,114
Python,zerver/tests/test_bots.py,test_bots.py,1624,1585,9,30,6,65093,620
Python,zerver/tests/test_auth_backends.py,test_auth_backends.py,5050,4772,87,191,121,261901,2629
Python,zerver/views/streams.py,streams.py,811,706,48,57,65,34109,606
JavaScript,static/js/settings_account.js,settings_account.js,680,580,23,77,63,24609,438
HTML,templates/zerver/app/right_sidebar.html,right_sidebar.html,26,26,0,0,0,1643,25
JavaScript,static/js/rendered_markdown.js,rendered_markdown.js,237,154,57,26,34,9400,167
Python,zerver/views/registration.py,registration.py,656,614,30,12,17,30419,534
Handlebars,static/templates/recipient_row.hbs,recipient_row.hbs,73,59,8,6,0,3857,59
JavaScript,static/js/recent_topics.js,recent_topics.js,579,427,90,62,70,19801,371
Handlebars,static/templates/recent_topic_row.hbs,recent_topic_row.hbs,53,53,0,0,0,2774,44
Python,zerver/models.py,models.py,3147,2810,206,131,37,130540,2216
Python,confirmation/models.py,models.py,186,141,18,27,16,7992,154
Python,zerver/middleware.py,middleware.py,504,484,5,15,16,23897,395
HTML,templates/confirmation/link_expired.html,link_expired.html,17,16,0,1,0,625,17
Python,zerver/views/invite.py,invite.py,155,126,2,27,31,6564,100
Python,zerver/lib/events.py,events.py,1050,1035,9,6,0,50224,848
Markdown,docs/production/deployment.md,deployment.md,601,423,0,178,0,20858,395
Python,tools/linter_lib/custom_check.py,custom_check.py,730,692,23,15,5,35349,582
BASH,scripts/setup/configure-rabbitmq,configure-rabbitmq,39,29,6,4,8,1144,35
Markdown,docs/overview/changelog.md,changelog.md,1940,1771,0,169,0,102017,1749
Python,zproject/backends.py,backends.py,2051,1883,129,39,53,94077,1537
Python,zerver/views/auth.py,auth.py,1023,963,44,16,27,46155,762
Puppet,puppet/zulip/manifests/app_frontend_base.pp,app_frontend_base.pp,193,170,13,10,10,6041,114
Python,zerver/lib/actions.py,actions.py,6193,5410,392,391,387,264702,4427
Python,zerver/lib/markdown/__init__.py,__init__.py,2434,2300,94,40,24,102116,1842
JavaScript,frontend_tests/puppeteer_tests/15-realm-linkifier.js,15-realm-linkifier.js,66,54,0,12,0,2365,42
Python,zerver/migrations/0254_merge_0209_0253.py,0254_merge_0209_0253.py,16,9,1,6,0,344,10
Python,zerver/migrations/0209_user_profile_no_empty_password.py,0209_user_profile_no_empty_password.py,230,157,54,19,20,11267,194
