Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,vdef.php,vdef.php,926,688,70,168,70,28967,533
PHP,utilities.php,utilities.php,2791,2342,108,341,315,92663,1284
PHP,user_group_admin.php,user_group_admin.php,2591,2101,109,381,334,87858,1003
PHP,user_domains.php,user_domains.php,784,641,50,93,59,29701,504
PHP,user_admin.php,user_admin.php,3103,2522,118,463,526,103246,1218
PHP,tree.php,tree.php,2062,1761,68,233,236,63262,1061
PHP,spikekill.php,spikekill.php,114,75,22,17,19,3969,82
PHP,sites.php,sites.php,558,434,49,75,31,18807,372
PHP,settings.php,settings.php,1149,1021,34,94,152,37032,632
PHP,remote_agent.php,remote_agent.php,456,336,34,86,73,14235,271
PHP,pollers.php,pollers.php,908,727,54,127,99,34006,598
PHP,managers.php,managers.php,1088,889,53,146,102,38211,554
PHP,links.php,links.php,640,499,36,105,83,21909,388
PHP,lib/import.php,import.php,2141,1592,177,372,342,69768,1078
PHP,lib/html_utility.php,html_utility.php,1037,671,246,120,239,37610,621
PHP,lib/html_tree.php,html_tree.php,1512,1406,28,78,66,52363,858
PHP,lib/html_reports.php,html_reports.php,1731,1436,91,204,214,64727,1049
PHP,lib/html_form.php,html_form.php,1454,1129,161,164,195,52952,707
PHP,lib/html.php,html.php,2430,1917,200,313,574,88428,1305
PHP,host_templates.php,host_templates.php,877,666,66,145,52,30119,486
PHP,graphs_new.php,graphs_new.php,862,670,54,138,123,31771,560
PHP,graphs.php,graphs.php,2088,1860,56,172,164,81804,1282
PHP,graph_view.php,graph_view.php,955,759,47,149,166,29600,582
PHP,graph_templates.php,graph_templates.php,836,648,54,134,70,38142,535
PHP,gprint_presets.php,gprint_presets.php,434,314,44,76,43,14282,277
PHP,include/global_session.php,global_session.php,134,102,22,10,38,5562,93
PHP,include/global_arrays.php,global_arrays.php,2652,2492,26,134,22,77960,1739
PHP,include/global.php,global.php,451,310,70,71,80,15609,325
PHP,lib/functions.php,functions.php,5323,3849,714,760,1025,169421,3035
PHP,data_templates.php,data_templates.php,1043,798,76,169,129,41566,661
PHP,data_sources.php,data_sources.php,1617,1270,103,244,261,62426,954
PHP,data_source_profiles.php,data_source_profiles.php,1029,787,65,177,120,34399,584
PHP,data_queries.php,data_queries.php,1425,1112,86,227,133,50028,826
PHP,data_input.php,data_input.php,947,728,63,156,127,34667,561
PHP,data_debug.php,data_debug.php,889,740,39,110,112,27144,523
PHP,color_templates.php,color_templates.php,638,446,73,119,64,22136,381
PHP,cmd_realtime.php,cmd_realtime.php,273,200,29,44,44,8837,186
PHP,cdef.php,cdef.php,927,686,73,168,76,29268,523
PHP,automation_tree_rules.php,automation_tree_rules.php,979,745,87,147,152,38781,578
PHP,automation_networks.php,automation_networks.php,1262,1073,51,138,92,42727,791
PHP,auth_profile.php,auth_profile.php,639,534,31,74,57,18387,413
PHP,auth_login.php,auth_login.php,792,609,82,101,191,28543,526
PHP,lib/auth.php,auth.php,2628,2100,133,395,571,77946,1078
PHP,lib/api_automation.php,api_automation.php,3967,2943,377,647,553,137246,1950
PHP,aggregate_templates.php,aggregate_templates.php,720,522,81,117,101,24126,448
PHP,aggregate_graphs.php,aggregate_graphs.php,1609,1281,95,233,208,57149,923
