Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,src/wp-admin/themes.php,themes.php,1139,952,95,92,125,44832,625
PHP,src/wp-includes/pluggable.php,pluggable.php,2837,1897,738,202,174,102196,1547
PHP,tests/phpunit/tests/xmlrpc/wp/newComment.php,newComment.php,98,76,5,17,0,1998,40
PHP,src/wp-admin/includes/misc.php,misc.php,1502,846,488,168,163,43981,800
PHP,src/wp-includes/meta.php,meta.php,1672,681,772,219,183,59451,729
PHP,src/wp-admin/includes/media.php,media.php,3764,2296,864,604,391,114763,1886
PHP,tests/phpunit/tests/kses.php,kses.php,1386,1027,242,117,18,42388,674
PHP,src/wp-includes/kses.php,kses.php,2448,1640,647,161,109,63363,1436
PHP,src/wp-includes/functions.php,functions.php,7637,3881,3041,715,662,233471,4080
PHP,tests/phpunit/tests/functions.php,functions.php,1746,1303,272,171,23,48593,890
PHP,src/wp-includes/formatting.php,formatting.php,6062,3130,2389,543,443,308678,3791
PHP,src/wp-includes/default-filters.php,default-filters.php,602,419,90,93,7,26766,471
PHP,src/wp-includes/class-wp-xmlrpc-server.php,class-wp-xmlrpc-server.php,7058,3802,2217,1039,684,209957,2850
PHP,src/wp-includes/class-wp-tax-query.php,class-wp-tax-query.php,652,298,260,94,59,19266,361
PHP,src/wp-includes/rest-api/endpoints/class-wp-rest-posts-controller.php,class-wp-rest-posts-controller.php,2813,1851,566,396,325,86495,1310
PHP,src/wp-includes/class-wp-meta-query.php,class-wp-meta-query.php,847,397,340,110,83,27840,488
PHP,src/wp-includes/blocks.php,blocks.php,832,374,374,84,44,26000,464
PHP,tests/phpunit/tests/blocks/block-type.php,block-type.php,422,231,132,59,0,11139,220
PHP,tests/phpunit/tests/formatting/WPTargetedLinkRel.php,WPTargetedLinkRel.php,138,89,29,20,0,6255,74
PHP,src/wp-includes/Requests/Utility/FilteredIterator.php,FilteredIterator.php,45,13,28,4,0,829,29
