Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,django/contrib/admin/widgets.py,widgets.py,476,434,19,23,11,17388,329
Python,django/contrib/auth/views.py,views.py,368,354,4,10,5,13779,244
Python,django/core/validators.py,validators.py,577,502,23,52,71,20667,371
Python,django/core/files/utils.py,utils.py,78,74,1,3,1,2659,59
Python,tests/auth_tests/urls.py,urls.py,170,135,3,32,0,6887,116
Python,django/core/files/uploadedfile.py,uploadedfile.py,120,69,27,24,5,3990,84
Python,django/utils/text.py,text.py,416,342,58,16,24,13867,315
Python,tests/validators/tests.py,tests.py,776,764,3,9,3,32112,587
Python,tests/i18n/tests.py,tests.py,2031,1856,85,90,52,90292,1266
Python,tests/admin_views/tests.py,tests.py,6772,6487,170,115,38,316746,3554
Python,tests/file_uploads/tests.py,tests.py,776,734,12,30,22,30682,485
Python,tests/i18n/patterns/tests.py,tests.py,391,311,33,47,21,16400,228
Python,tests/admin_widgets/tests.py,tests.py,1451,1248,100,103,17,64683,830
Python,tests/auth_tests/test_views.py,test_views.py,1333,1230,39,64,5,57834,751
Python,tests/utils_tests/test_text.py,test_text.py,268,253,2,13,6,12798,214
Python,tests/utils_tests/test_http.py,test_http.py,347,315,4,28,15,13449,253
Python,tests/utils_tests/test_html.py,test_html.py,279,234,20,25,28,12170,204
Python,tests/auth_tests/test_hashers.py,test_hashers.py,741,737,2,2,6,32484,434
Python,tests/file_storage/test_generate_filename.py,test_generate_filename.py,198,190,5,3,2,7315,112
Python,tests/forms_tests/field_tests/test_filefield.py,test_filefield.py,85,81,0,4,1,4122,60
Python,tests/postgres_tests/test_aggregates.py,test_aggregates.py,724,699,6,19,8,32286,433
Python,django/core/files/storage.py,storage.py,373,325,35,13,12,14873,266
Python,django/urls/resolvers.py,resolvers.py,725,652,37,36,46,28911,542
Plain Text,docs/topics/auth/passwords.txt,passwords.txt,739,554,0,185,0,30721,502
Python,django/contrib/admin/options.py,options.py,2217,2078,86,53,69,93224,1509
Python,django/http/multipartparser.py,multipartparser.py,715,545,113,57,65,26029,517
Python,tests/admin_views/models.py,models.py,1048,1029,10,9,4,27138,488
Python,django/contrib/postgres/aggregates/mixins.py,mixins.py,48,42,1,5,9,2064,41
Python,django/contrib/admin/views/main.py,main.py,539,446,62,31,86,23329,453
Plain Text,docs/releases/index.txt,index.txt,407,357,0,50,0,4568,301
Python,django/utils/http.py,http.py,354,351,1,2,4,12682,267
Python,django/utils/html.py,html.py,379,342,17,20,2,13211,281
Python,django/contrib/auth/hashers.py,hashers.py,807,760,30,17,16,27455,425
Python,django/contrib/postgres/aggregates/general.py,general.py,103,73,4,26,4,3248,66
Python,django/utils/formats.py,formats.py,289,211,49,29,42,10072,208
Python,django/db/models/fields/files.py,files.py,481,391,49,41,21,18417,343
Plain Text,docs/ref/exceptions.txt,exceptions.txt,338,231,0,107,0,10217,215
Python,django/contrib/admin/exceptions.py,exceptions.py,11,5,2,4,0,331,7
Python,django/views/debug.py,debug.py,583,495,51,37,40,23174,456
Python,tests/admin_views/admin.py,admin.py,1213,932,41,240,28,36442,745
Python,django/http/__init__.py,__init__.py,21,20,0,1,0,1010,20
JavaScript,django/contrib/admin/static/admin/js/admin/RelatedObjectLookups.js,RelatedObjectLookups.js,155,137,7,11,21,5984,109
Plain Text,docs/releases/3.2.4.txt,3.2.4.txt,58,42,0,16,0,2543,42
Plain Text,docs/releases/3.2.1.txt,3.2.1.txt,83,60,0,23,0,3574,59
Plain Text,docs/releases/3.1.9.txt,3.1.9.txt,16,11,0,5,0,500,11
Plain Text,docs/releases/3.1.12.txt,3.1.12.txt,32,24,0,8,0,1455,24
Plain Text,docs/releases/3.0.3.txt,3.0.3.txt,47,34,0,13,0,1946,34
Plain Text,docs/releases/2.2.24.txt,2.2.24.txt,32,24,0,8,0,1455,24
Plain Text,docs/releases/2.2.21.txt,2.2.21.txt,16,11,0,5,0,505,11
Plain Text,docs/releases/2.2.10.txt,2.2.10.txt,13,9,0,4,0,436,9
Plain Text,docs/releases/2.0.3.txt,2.0.3.txt,56,40,0,16,0,2404,40
Plain Text,docs/releases/1.9.8.txt,1.9.8.txt,28,20,0,8,0,862,20
Plain Text,docs/releases/1.9.3.txt,1.9.3.txt,107,79,0,28,0,4961,79
Plain Text,docs/releases/1.8.7.txt,1.8.7.txt,66,47,0,19,0,2704,47
Plain Text,docs/releases/1.8.19.txt,1.8.19.txt,30,22,0,8,0,1426,22
Plain Text,docs/releases/1.8.14.txt,1.8.14.txt,25,18,0,7,0,769,18
Plain Text,docs/releases/1.8.10.txt,1.8.10.txt,80,60,0,20,0,3887,60
Plain Text,docs/releases/1.7.11.txt,1.7.11.txt,26,19,0,7,0,992,19
Plain Text,docs/releases/1.6.6.txt,1.6.6.txt,97,73,0,24,0,4393,73
Plain Text,docs/releases/1.5.9.txt,1.5.9.txt,64,51,0,13,0,3190,51
Plain Text,docs/releases/1.4.14.txt,1.4.14.txt,64,51,0,13,0,3195,51
Plain Text,docs/releases/1.11.28.txt,1.11.28.txt,13,9,0,4,0,442,9
Plain Text,docs/releases/1.11.11.txt,1.11.11.txt,30,22,0,8,0,1435,22
