Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
ReStructuredText,Doc/using/unix.rst,unix.rst,182,127,0,55,0,6294,121
C Header,Parser/tokenizer.h,tokenizer.h,148,112,16,20,0,5618,122
C,Parser/tokenizer.c,tokenizer.c,2938,2597,193,148,735,91307,1660
ReStructuredText,Doc/library/token.rst,token.rst,100,60,0,40,0,2880,58
Python,Lib/token.py,token.py,140,129,4,7,3,2457,134
C,Parser/token.c,token.c,247,237,3,7,27,4716,159
Python,Lib/test/test_venv.py,test_venv.py,786,689,65,32,44,32938,569
Python,Lib/test/test_urlparse.py,test_urlparse.py,1457,1403,28,26,31,72867,1108
Python,Lib/test/test_type_comments.py,test_type_comments.py,420,406,1,13,4,10766,220
Python,Lib/test/test_tempfile.py,test_tempfile.py,1857,1845,6,6,2,69493,1174
Python,Lib/test/test_tarfile.py,test_tarfile.py,4117,3970,65,82,135,161262,2629
Python,Lib/test/test_subprocess.py,test_subprocess.py,3826,3645,82,99,127,162765,2515
Python,Lib/test/test_ssl.py,test_ssl.py,5100,4897,111,92,192,216670,3215
Python,Lib/test/test_socket.py,test_socket.py,6828,6046,391,391,190,260424,4033
Python,Lib/test/test_email/test_policy.py,test_policy.py,386,307,29,50,36,15879,292
Python,Lib/test/test_zipfile/_path/test_path.py,test_path.py,579,568,4,7,1,18791,350
Python,Lib/test/test_os.py,test_os.py,4776,4213,255,308,286,180093,3153
Python,Lib/test/test_ipaddress.py,test_ipaddress.py,2651,2617,23,11,4,122336,1844
Python,Lib/test/test_http_cookies.py,test_http_cookies.py,489,483,1,5,0,19145,322
Python,Lib/test/test_email/test_generator.py,test_generator.py,318,313,0,5,9,12175,193
Python,Lib/test/test_ftplib.py,test_ftplib.py,1159,1134,10,15,17,42961,778
Python,Lib/test/test_email/test_email.py,test_email.py,5602,5503,52,47,19,216466,3292
Python,Lib/test/test_zipfile/test_core.py,test_core.py,3256,2992,107,157,209,136133,1987
Python,Lib/test/test_ast.py,test_ast.py,3113,3056,53,4,55,146033,2279
Python,Lib/test/test_asdl_parser.py,test_asdl_parser.py,131,98,7,26,6,4549,105
Python,Lib/test/test_email/test__header_value_parser.py,test__header_value_parser.py,2986,2946,8,32,4,126276,1464
Python,Lib/tempfile.py,tempfile.py,925,905,12,8,10,31036,652
Python,Lib/tarfile.py,tarfile.py,2904,2792,83,29,46,107114,2076
Python,Lib/ssl.py,ssl.py,1474,1192,182,100,99,50497,972
Python,Lib/socket.py,socket.py,968,939,28,1,3,37395,758
Python,Lib/test/support/script_helper.py,script_helper.py,302,244,37,21,24,11719,230
C,Python/pythonrun.c,pythonrun.c,2032,1688,110,234,441,54427,1007
C Header,Include/internal/pycore_token.h,pycore_token.h,106,93,4,9,11,3001,95
Autoconf,pyconfig.h.in,pyconfig.h.in,1931,662,667,602,561,53215,1292
C,Modules/posixmodule.c,posixmodule.c,16938,11643,3409,1886,2407,454645,7978
Shell,.github/workflows/posix-deps-apt.sh,posix-deps-apt.sh,25,23,1,1,0,395,25
C,Parser/parser.c,parser.c,41442,40053,862,527,6510,1445551,8188
Python,Lib/urllib/parse.py,parse.py,1236,1160,56,20,30,44829,874
ReStructuredText,Doc/library/os.rst,os.rst,5379,3498,0,1881,0,189774,2875
Python,Tools/ssl/multissltests.py,multissltests.py,539,506,30,3,7,16360,391
Python,Lib/test/multibytecodec_support.py,multibytecodec_support.py,383,352,4,27,32,14527,256
ReStructuredText,Doc/library/ipaddress.rst,ipaddress.rst,999,711,0,288,0,36070,591
Python,Lib/ipaddress.py,ipaddress.py,2328,2241,70,17,15,76304,1241
Python,Lib/email/generator.py,generator.py,509,296,164,49,60,20190,398
Python,Lib/ftplib.py,ftplib.py,959,911,33,15,13,34416,742
Python,Lib/email/errors.py,errors.py,113,97,7,9,0,3735,75
ReStructuredText,Doc/library/email.policy.rst,email.policy.rst,652,447,0,205,0,27028,421
ReStructuredText,Doc/library/email.errors.rst,email.errors.rst,117,79,0,38,0,4916,79
C,Modules/_ssl/debughelpers.c,debughelpers.c,206,164,20,22,34,6145,139
Python,Lib/http/cookies.py,cookies.py,612,494,92,26,19,20482,456
Shell,configure,configure,31966,27076,1285,3605,3689,846293,12416
C Header,Include/compile.h,compile.h,25,19,2,4,0,520,19
YAML,.github/workflows/build.yml,build.yml,578,532,27,19,0,21614,317
C,Python/bltinmodule.c,bltinmodule.c,3163,2287,564,312,584,94116,1642
ReStructuredText,Doc/library/ast.rst,ast.rst,2497,1924,0,573,0,85262,1304
Python,Lib/ast.py,ast.py,1823,1679,73,71,142,63829,1288
C,Python/ast.c,ast.c,1101,1006,42,53,222,39127,616
Python,Parser/asdl_c.py,asdl_c.py,1704,1682,15,7,8,56783,1074
Fish,Lib/venv/scripts/posix/activate.fish,activate.fish,69,42,14,13,8,2211,51
C Shell,Lib/venv/scripts/posix/activate.csh,activate.csh,27,12,5,10,9,932,18
Batch,Lib/venv/scripts/nt/activate.bat,activate.bat,34,25,0,9,10,1007,24
C Header,Modules/clinic/_ssl.c.h,_ssl.c.h,1545,1292,9,244,134,46652,607
C,Modules/_ssl.c,_ssl.c,6312,4946,681,685,1162,190354,3425
C,Modules/_posixsubprocess.c,_posixsubprocess.c,1324,873,321,130,269,44248,901
Python,Lib/email/_policybase.py,_policybase.py,374,302,53,19,19,15073,256
C,Modules/_pickle.c,_pickle.c,7966,6653,682,631,1141,232201,3863
Python,Lib/email/_parseaddr.py,_parseaddr.py,557,495,43,19,28,17821,397
Python,Lib/email/_header_value_parser.py,_header_value_parser.py,3001,2892,65,44,78,106925,1880
C Header,Modules/clinic/_hashopenssl.c.h,_hashopenssl.c.h,1854,1592,11,251,180,54660,496
C,Modules/_hashopenssl.c,_hashopenssl.c,2271,1577,403,291,288,61335,1089
