Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Rust,src/cargo/core/resolver/version_prefs.rs,version_prefs.rs,194,156,14,24,4,6483,117
Rust,tests/testsuite/vendor.rs,vendor.rs,1153,1053,9,91,2,28931,344
Rust,src/cargo/core/summary.rs,summary.rs,491,429,30,32,63,17654,350
Rust,tests/testsuite/registry.rs,registry.rs,3531,3127,62,342,19,85475,969
Rust,src/cargo/sources/registry/mod.rs,mod.rs,952,438,454,60,50,38423,701
Rust,src/cargo/util/toml/mod.rs,mod.rs,3549,3077,165,307,365,125825,2166
Rust,src/cargo/util/mod.rs,mod.rs,261,225,16,20,19,8451,208
Rust,crates/resolver-tests/src/lib.rs,lib.rs,991,832,67,92,120,35351,682
Rust,src/cargo/util/io.rs,io.rs,51,44,0,7,4,1248,35
Rust,src/cargo/sources/registry/index.rs,index.rs,1051,554,441,56,61,45135,825
Rust,tests/testsuite/features.rs,features.rs,2069,1940,24,105,0,50932,492
Markdown,crates/home/CHANGELOG.md,CHANGELOG.md,53,39,0,14,0,1864,39
Markdown,CHANGELOG.md,CHANGELOG.md,3871,3538,0,333,0,206278,3315
